module type_0,x_0,x_1,x_2,x_3,x_4,x_5,y_0,y_1,y_2,y_3,z_0,z_1,z_2,z_3,edge count_0,line length_0,area difference_0,total score_0,img_0,deformation average_0,deformation variance_0,strain energy_0
23,13,0.689,0.386,0.83,0.935,0.885,5,0.97,0.87,0.24,3,0.77,0.43,0.68,4680,6,C:\Users\glady\Desktop\datalogging (new)/line length_4598.jpg,9.92E-06,0.009863,6.009863,1.346998,1.080255
23,7.57E-06,1.250651,0.767842,,,,,,,,,,,,,,,,,,,
23,13,0.044,0.699,0.4,0.133,0.649,6,0.5,0.65,0.06,3,0.25,0.18,0.45,5616,16,C:\Users\glady\Desktop\datalogging (new)/line length_4599.jpg,7.57E-06,0.006829,16.006829,1.250651,0.767842
23,0.000011,1.462729,1.203667,,,,,,,,,,,,,,,,,,,
23,11,0.272,0.968,0.647,0.942,0.849,6,0.27,0.41,0.47,3,0.57,0.08,0.6,4752,0,C:\Users\glady\Desktop\datalogging (new)/line length_4600.jpg,0.000011,0.005096,0.005096,1.462729,1.203667
23,9.84E-06,1.465467,1.10956,,,,,,,,,,,,,,,,,,,
23,10,0.445,0.287,0.637,0.393,0.618,6,0.29,0.33,0.08,3,0.69,0.77,0.84,4320,8,C:\Users\glady\Desktop\datalogging (new)/line length_4601.jpg,9.84E-06,0.007396,8.007396,1.465467,1.10956
23,3.25E-06,0.582895,0.167446,,,,,,,,,,,,,,,,,,,
23,12,0.127,0.643,0.428,0.518,0.082,6,0.24,0.97,0.8,2,0.78,0.83,0.96,3456,0,C:\Users\glady\Desktop\datalogging (new)/line length_4602.jpg,3.25E-06,0.004656,0.004656,0.582895,0.167446
23,0.000018,2.438231,3.694868,,,,,,,,,,,,,,,,,,,
23,8,0.126,0.317,0.047,0.156,0.39,6,0.06,0.62,0.97,3,0.54,0.83,0.45,3456,88,C:\Users\glady\Desktop\datalogging (new)/line length_4603.jpg,0.000018,0.008817,88.008817,2.438231,3.694868
23,7.14E-06,1.224923,0.827771,,,,,,,,,,,,,,,,,,,
23,10,0.277,0.872,0.006,0.612,0.65,4,0.79,0.34,0.93,2,0.65,0.51,0.22,1920,20,C:\Users\glady\Desktop\datalogging (new)/line length_4604.jpg,7.14E-06,0.014764,20.014764,1.224923,0.827771
23,3.26E-06,0.772728,0.312833,,,,,,,,,,,,,,,,,,,
23,12,0.503,0.805,0.655,0.199,0.837,6,0.75,0.95,0.37,2,0.72,0.45,0.13,3456,4,C:\Users\glady\Desktop\datalogging (new)/line length_4605.jpg,3.26E-06,0.007044,4.007044,0.772728,0.312833
23,0.000013,1.636395,1.634431,,,,,,,,,,,,,,,,,,,
23,14,0.093,0.59,0.622,0.942,0.354,4,0.78,0.52,0.91,3,0.82,0.31,0.94,4032,0,C:\Users\glady\Desktop\datalogging (new)/line length_4606.jpg,0.000013,0.011719,0.011719,1.636395,1.634431
23,5.06E-06,0.981648,0.391765,,,,,,,,,,,,,,,,,,,
